,Peak CCU,DLC count,Metacritic score,User score,Positive,Negative,Achievements,Recommendations,Average playtime forever,Median playtime forever
291,0,0,0,0,0,0,0,0,0,0
292,0,0,0,0,6,14,0,0,0,0
293,0,0,0,0,2,0,0,0,0,0
294,0,0,0,0,1,5,0,0,0,0
295,5,0,0,0,1426,109,18,1284,343,446
296,0,0,0,0,0,0,0,0,0,0
297,0,0,0,0,1,2,0,0,0,0
298,0,0,0,0,0,0,0,0,0,0
299,0,0,0,0,18,0,0,0,0,0
300,0,0,0,0,0,0,0,0,0,0
301,0,1,0,0,3,0,12,0,0,0
302,0,0,0,0,5,0,39,0,0,0
303,0,0,0,0,11,1,6,0,0,0
304,6,0,0,0,29,13,0,0,0,0
305,0,0,0,0,0,0,0,0,0,0
306,0,0,0,0,14,0,0,0,0,0
307,0,0,0,0,3,5,0,0,0,0
308,0,0,0,0,5,0,6,0,0,0
309,5,0,0,0,0,0,11,363,0,0
310,1,0,0,0,95,7,0,0,547,547
311,11,0,0,0,421,54,34,429,400,400
312,0,0,0,0,54,15,10,0,0,0
313,0,0,0,0,250,71,10,122,9,9
314,0,0,0,0,2,0,0,0,0,0
315,0,0,0,0,0,0,0,0,0,0
316,0,0,0,0,15,0,21,0,0,0
317,1,0,0,0,16,7,28,0,0,0
318,0,0,0,0,106,74,0,124,12,12
319,2,0,0,0,35,42,20,0,0,0
320,0,1,0,0,3,0,0,0,0,0
321,0,0,0,0,9,1,0,0,0,0
322,0,0,0,0,1,0,0,0,0,0
323,0,0,0,0,2,0,0,0,0,0
324,1,0,0,0,12,0,20,0,0,0
325,2,0,0,0,52,32,0,0,0,0
326,0,0,0,0,0,0,0,0,0,0
327,0,0,0,0,57,72,0,0,142,148
328,0,0,0,0,351,19,0,0,0,0
329,0,0,0,0,9,8,0,0,0,0
330,4,0,0,0,189,54,25,0,0,0
331,0,0,0,0,15,9,0,0,0,0
332,0,0,0,0,1,0,7,0,0,0
333,0,0,0,0,49,15,0,0,2,2
334,0,0,0,0,19,3,8,0,0,0
335,3,0,0,0,205,15,30,203,50,50
336,0,0,0,0,1,0,0,0,0,0
337,0,0,0,0,5,5,0,0,0,0
338,2,0,0,0,0,0,0,0,0,0
339,0,0,0,0,15,15,0,0,0,0
340,0,0,0,0,0,2,0,0,0,0
341,4,0,0,0,1438,285,53,723,236,319
342,1,1,0,0,298,43,51,311,180,180
343,0,0,0,0,33,3,26,0,7,7
344,9,0,59,0,98,32,0,111,0,0
345,570,1,0,0,2461,336,1,2619,8744,9735
346,0,0,0,0,4,0,0,0,0,0
347,0,0,0,0,0,0,0,0,0,0
348,0,0,0,0,5,1,0,0,0,0
349,1,3,0,0,654,277,52,775,145,171
350,0,3,0,0,3,3,0,0,0,0
351,7,0,0,0,58,12,0,0,1815,1815
352,0,0,0,0,14,0,11,0,0,0
353,1,0,0,0,27,9,0,0,0,0
354,7,0,77,0,1079,268,60,1011,395,329
355,0,0,0,0,0,0,0,0,0,0
356,0,0,0,0,131,28,0,0,103,103
357,0,0,0,0,0,0,10,0,0,0
358,0,0,0,0,11,7,18,0,313,316
359,0,0,0,0,9,6,0,0,0,0
360,0,0,0,0,1,2,6,0,0,0
361,0,1,0,0,22,2,14,0,0,0
362,0,0,0,0,31,6,17,0,231,247
363,0,0,0,0,12,4,0,0,0,0
364,2,0,0,0,0,0,15,0,0,0
365,0,4,0,0,1,0,0,0,0,0
366,0,0,0,0,15,13,0,0,0,0
367,0,0,0,0,5,1,6,0,0,0
368,0,0,0,0,0,0,0,0,0,0
